genes	control	control	infected	infected	infected
YBX2	29.0991097878172	16.6731003833467	25.486931868087	15.8251762041198	10.5212840581608
MAP3K14	38.1627527420919	21.8663530263779	94.0207949618029	58.3787666096046	38.8128118475433
TMEM132A	295.167299400568	169.123868347596	639.476621561338	397.059570253521	263.982939132202
AP2B1	1012.07286476505	579.893769690294	852.024854977173	529.033605539095	351.725173128926
ZNF263	395.308368477607	226.502328011546	666.181560865939	413.641023533301	275.007029973496
CX3CL1	28.1286380525313	16.1170430750782	159.944992977859	99.3119811337771	66.0270413681179
SPATA20	156.742763715424	89.8098894724468	97.8526815395517	60.7580361349022	40.3946565109895
CACNA1G	30.787836145196	17.6407005704964	14.9881334553698	9.30633212854791	6.18726531705539
TNFRSF12A	933.947522014985	535.129799532669	1774.17200973548	1101.60708302583	732.397598074092
MAP3K9	126.901007854729	72.7112704868931	247.083387920762	153.417373703303	101.998723260297
RALA	6839.75184262674	3919.01573281258	13064.7121272794	8112.05415153073	5393.25596900577
BAIAP2L1	927.194160703296	531.260283526997	1367.84333126654	849.312182767168	564.660678256691
KDM7A	202.610369130123	116.090940508008	621.725236661617	386.037498418464	256.654973415404
ETV1	572.194460212993	327.853867128275	470.233801570953	291.974444217477	194.117653144106
AGK	179.411867872324	102.798748993049	190.29011916445	118.153675038893	78.553841143089
ALDH3B1	2927.16229479079	1677.19463362509	805.484861531553	500.136302378894	332.512955132635
PHTF2	528.059906822173	302.565813836439	400.238565762191	248.513467986378	165.222854724527
CCL26	17.7322031087271	10.1601322035453	119.807643332017	74.3901649732708	49.4579047159973
FARP2	122.712752444206	70.3114993804933	92.2437475647816	57.2753741602315	38.0792272581685
USH1C	529.323497116802	303.289821133549	119.845916339443	74.413929194461	49.4737042318029
GGCT	1577.24235526475	903.722495634737	1550.32077549965	962.61486365526	639.989361792261
DBF4	457.879466585022	262.354084558337	677.793860964723	420.851255669107	279.800714381657
IFRD1	2050.76160871357	1175.03780746964	8289.63932017763	5147.14770649469	3422.05372065578
COX10	76.4658172645294	43.8131013781017	99.7639382881129	61.9447609621132	41.1836441876453
GTF2IRD1	380.17856422478	217.833308686653	528.675832548495	328.261881353223	218.243162327912
PAF1	594.357693298025	340.552874511689	560.194056672056	347.831967426267	231.254229753724
VPS41	727.916588373946	417.07895661273	350.777667842294	217.802536248987	144.804855434525
ARHGAP44	24.7622776964571	14.1881983594628	17.0644810194011	10.5955640467661	7.0444042868502
ELAC2	216.1733006758	123.862178899919	202.991735404286	126.040278107197	83.7972071609653
SCIN	65.9656249215167	37.796739975431	109.08593330486	67.7329121008022	45.0318656239324
ARSD	734.711802179073	420.972453105417	217.740244115196	135.197824033327	89.8855527643074
ADIPOR2	719.722980050781	412.384213197206	1184.39334585892	735.405638082055	488.930519093998
CDKL3	57.1612221621125	32.7520258211712	51.2897718562677	31.8465039768422	21.1729784413064
MARK4	123.587556278562	70.8127412484516	181.901227283199	112.944900092375	75.0908148803492
CCDC124	193.98936959648	111.151312056233	186.294432605607	115.672699918883	76.9043780570435
PAFAH1B1	1105.5360904768	633.445983342403	1639.40326736558	1017.92737195469	676.763588144075
KIAA0100	447.329881929936	256.309422531236	302.908590277689	188.079987018294	125.043976986462
TRAPPC6A	1437.54981928523	823.681982637123	747.987373306248	464.435344446053	308.777363521208
ST7L	83.4520415998099	47.8160423784301	118.118005225488	73.3410461191295	48.7604036371582
RPUSD1	45.8493263286944	26.2705775524168	19.1121421215426	11.8669841578814	7.88970117162169
RHBDF1	220.387079185708	126.276574137477	491.628538923548	305.258722223086	202.949634576844
LUC7L	1081.13300645297	619.46359444599	470.699712061793	292.263734260353	194.309986087326
BAIAP3	258.051582250087	147.857441904923	565.969083081723	351.417758410817	233.638223779131
TSR3	537.970288101346	308.244227475542	415.898314937311	258.236815280247	171.687370351741
PIGQ	97.1499084974345	55.6645955296139	54.5155160565694	33.8494116090123	22.5046009059482
CRAMP1L	192.670111843755	110.395408624717	228.439069888212	141.840867766934	94.3021449861283
TEAD3	81.7963850173752	46.8673903887105	78.9644199861139	49.0300624101822	32.5973756849913
DNAJC11	156.340654112505	89.5794901982606	111.375731161929	69.1546781551662	45.9771192077958
MYLIP	265.783458632525	152.287623859492	189.920686905171	117.924289617814	78.4013354684069
PSMB1	6456.11648966417	3699.20176609037	8877.24840217372	5512.00202908865	3664.62517252116
JARID2	805.015802598767	461.254979440266	1214.2820369972	753.96392537304	501.268897491995
