genes	infected	control	infected	control	infected	control	infected	control	infected	control	infected	control	infected	control	infected	control	infected	control
ARHGEF2	29.6515264167336	67.6331289058678	29.6515264167336	183.41564383783	29.6515264167336	103.951223623688	64.9892558221699	103.951223623688	49.3592173767773	67.6331289058678	49.3592173767773	103.951223623688	49.3592173767773	183.41564383783	64.9892558221699	183.41564383783	64.9892558221699	67.6331289058678
HIVEP2	9.47201540367265	27.8153152640718	9.47201540367265	75.4329134293433	9.47201540367265	42.7517712688295	20.7604567660105	42.7517712688295	15.7675278073446	27.8153152640718	15.7675278073446	42.7517712688295	15.7675278073446	75.4329134293433	20.7604567660105	75.4329134293433	20.7604567660105	27.8153152640718
TP53BP2	39.5356917934204	86.4956201980473	39.5356917934204	234.569213703801	39.5356917934204	132.942622988669	86.6530495583205	132.942622988669	65.8128279113288	86.4956201980473	65.8128279113288	132.942622988669	65.8128279113288	234.569213703801	86.6530495583205	234.569213703801	86.6530495583205	86.4956201980473
SLC7A5	21.8268180216673	49.5341229652946	21.8268180216673	134.332585267004	21.8268180216673	76.1332911351064	47.8393132366219	76.1332911351064	36.3338682883739	49.5341229652946	36.3338682883739	76.1332911351064	36.3338682883739	134.332585267004	47.8393132366219	134.332585267004	47.8393132366219	49.5341229652946
TGFBI	28.6219596093622	62.8702331744048	28.6219596093622	170.499051019322	28.6219596093622	96.6307159481273	62.7326846193966	96.6307159481273	47.6453557989706	62.8702331744048	47.6453557989706	96.6307159481273	47.6453557989706	170.499051019322	62.7326846193966	170.499051019322	62.7326846193966	62.8702331744048
CELSR2	12.7666294251798	32.7687279820765	12.7666294251798	88.8661730990508	12.7666294251798	50.365101030142	27.9814851363478	50.365101030142	21.2518852523758	32.7687279820765	21.2518852523758	50.365101030142	21.2518852523758	88.8661730990508	27.9814851363478	88.8661730990508	27.9814851363478	32.7687279820765
DDIT3	3.29461178049543	13.9077527805461	3.29461178049543	37.716714749832	3.29461178049543	21.3760318764152	7.22102345856025	21.3760318764152	5.48435371454578	13.9077527805461	5.48435371454578	21.3760318764152	5.48435371454578	37.716714749832	7.22102345856025	37.716714749832	7.22102345856025	13.9077527805461
SULT1C4	3.70644080831593	14.4792052454666	3.70644080831593	39.2664481936592	3.70644080831593	22.2543467486123	8.12365699141331	22.2543467486123	6.16990218245828	14.4792052454666	6.16990218245828	22.2543467486123	6.16990218245828	39.2664481936592	8.12365699141331	39.2664481936592	8.12365699141331	14.4792052454666
HERPUD1	12.1488893786237	35.2454331179869	12.1488893786237	95.582799616977	12.1488893786237	54.1717640309221	26.6275424976787	54.1717640309221	20.2235683687263	35.2454331179869	20.2235683687263	54.1717640309221	20.2235683687263	95.582799616977	26.6275424976787	95.582799616977	26.6275424976787	35.2454331179869
AHR	44.0665613178144	95.8289015232454	44.0665613178144	259.88032722279	44.0665613178144	147.287752807057	96.5836627240406	147.287752807057	73.3551099044126	95.8289015232454	73.3551099044126	147.287752807057	73.3551099044126	259.88032722279	96.5836627240406	259.88032722279	96.5836627240406	95.8289015232454
FNIP1	15.4435033309295	36.0074974821047	15.4435033309295	97.6494573075455	15.4435033309295	55.3430468683657	33.8485707163428	55.3430468683657	25.707925698562	36.0074974821047	25.707925698562	55.3430468683657	25.707925698562	97.6494573075455	33.8485707163428	97.6494573075455	33.8485707163428	36.0074974821047
LAMA3	5.3537478367075	18.2895223473725	5.3537478367075	49.5997238498107	5.3537478367075	28.1107536832768	11.7341712152403	28.1107536832768	8.91208093433482	18.2895223473725	8.91208093433482	28.1107536832768	8.91208093433482	49.5997238498107	11.7341712152403	49.5997238498107	11.7341712152403	18.2895223473725
FNDC3B	31.7106601613753	65.3469401180888	31.7106601613753	177.215682439786	31.7106601613753	100.437381727431	69.502398512425	100.437381727431	52.7869407486261	65.3469401180888	52.7869407486261	100.437381727431	52.7869407486261	177.215682439786	69.502398512425	177.215682439786	69.502398512425	65.3469401180888
