geneSymbol,Antiphospholipid_Syndrome,hepC_3,Autoimmune_hemolytic_anemia,hepC_1,Rheumatoid_Arthritis,Sjogrens_Syndrome,Immune_thrombocytopenic_purpura,Glomerulonephritis
NHS,,,,,yes,,,
NIP7,,yes,,,,,,
NIPAL3,,yes,,,,,,
NIT1,,yes,,,,,,
NKAP,,,,,yes,,,
NKAPL,,,,,yes,,,
NKG2-E,,,,yes,,,,
NLRC5,,,,yes,,,,
NLRP1,,,yes,,yes,,,
NLRP3,,,,,yes,yes,yes,
NLRP6,,,,,yes,,,
NM,,,,,yes,,,
NME1,,,,,yes,,,
NOD1,,,,,yes,,,
NOD2,,,,,yes,,,
NOLC1,,,,,yes,,,
NOS1,,,,,yes,,,
NOS2,,,,,yes,,,
NOS3,,,,,yes,,,
NOSTRIN,,yes,,yes,,,,
NOTCH1,,,,,yes,,yes,
NOTCH2,,,,,,,yes,
NOTCH3,,,,,yes,,,
NOTCH4,,,,,yes,,,
NOTUM,,,,yes,,,,
NOV,,,,,,,,yes
NOX4,,,,,yes,,,
NPAS2,,,,,yes,,,
NPC2,,,,,yes,,,
NPHS1,,,,,,,,yes
NPHS2,,,,,yes,,,
NPPB,,,,yes,yes,,,
NPSR1,,,,,yes,,,
NR1D1,,,,yes,,,,
NR1I2,yes,,,,yes,,,
NR1I3,,,,,yes,yes,,
NR1I4,,,,,yes,yes,,
NR2C2AP,,yes,,,,,,
NR2F1,,,,,yes,,,
NR3C1,,,,,yes,,yes,
NR4A1,,yes,,yes,yes,,,
NR4A2,,,,,yes,yes,,
NR4A3,,,,yes,yes,,,
NRAS,,,,,,,yes,
NRG1,,,,yes,,,,
NRIP1,,,,,yes,,,
NRM,,,,,yes,,,
NRP1,,,,,yes,yes,,
NRP2,,yes,,,,,,
NRSN1,,,,,,yes,,
NTN1,,,,,yes,,,
NTN4,,,,yes,,,,
NTRK1,,,,,,,,yes
NTS,,,,,,,,yes
NUAK1,,yes,,,,,,
NUAK2,,,,yes,,,,
NUDT22,,yes,,,,,,
NXF1,,,,,yes,yes,,
NXT1,,,,,,,yes,
NYNRIN,,,,yes,,,,
OA25,,,,,yes,,,
OAS1,,,,,,yes,,
OAS3,,,,yes,,,,
OASL,,,,yes,,,,
OAZ1,,,,,yes,,,
ODC1,,,,,yes,,,
ODF1,,,,,yes,,,
ODF3B,,,,yes,,,,
OGFOD2,,yes,,,,,,
OLFML2A,,,,yes,,,,
OLIG3,,,,,yes,,,
OLR1,,,,,yes,,,
OPTN,,,,yes,,,,
OR2A1-AS1,,,,yes,,,,
OR2AG1,,,,,yes,,,
OR2W6P,,,,yes,,,,
OR5V1,,,,,yes,,,
OR7E14P,,,,yes,,,,
ORAI1,,,,,yes,,,
ORMDL3,,,,,yes,,,
OS9,,,,,yes,,,
OSCAR,,,,,yes,,,
OSCP1,,,,,yes,,,
OSM,,,,,yes,,,
OSMR,,,,,yes,,,
OTUB1,,,,,,,,yes
OXTR,,,,yes,,,,
P2RX7,,,,,yes,yes,,yes
P4HB,,,,,yes,,,
PADI2,,,,,yes,,,
PADI3,,,,,yes,,,
PADI4,,,,,yes,,,
PADI6,,,,,yes,,,
PAEP,,,,,yes,,,
PAFAH1B1,,,,,yes,,,
PAGR1,,,,,,,,yes
PAK1,,,,,yes,,,
PAK3,,,,,yes,,,
PAM,,,,,yes,,,
PAPOLA,,,,,yes,,,
PAPPA,,,,yes,,,,
PARD6A,,,,,yes,,,
PARP1,,,,,yes,,,
PASK,,yes,,,,,,
PAX5,,,,,yes,,,
PAX6,,,,,,yes,,
PBX2,,,,,yes,,,
PCDHGA4,,yes,,,,,,
PCDHGB6,,yes,,,,,,
PCMTD1,,yes,,,,,,
PCNA,,,,,yes,,,
PCSK1,,,,,yes,,,
PCSK1N,,,,yes,,,,
PCSK6,,,,,yes,,,
PCSK9,,,,yes,,,,
PCYT1A,,,,,yes,,,
PDC,,,,,yes,,,
PDCD1,,,,,yes,yes,,
PDCD1LG2,,,,,yes,,,
PDCD5,,,,,yes,,,
PDE2A,,,,,yes,,,
PDE3A,,,,,yes,,,
PDE4A,,,,,yes,,,
PDE4D,,,,,yes,,,
PDE7A,,,,,yes,,,
PDGFA,,,,yes,,,,
PDGFB,,,,yes,,,,yes
PDGFC,,,,,,,,yes
PDGFD,,,,,yes,,,yes
PDGFRA,,,,,yes,,,
PDGFRB,,,,,,,,yes
PDIA3,,,,,yes,,,
PDK1,,yes,,,,,,
PDK3,,yes,,,,,,
PDLIM4,,,,,yes,,,
PDLIM7,,,,,yes,,,
PDPN,,,,,yes,,,
PDS5A,,,,,yes,,,
PEBP1,,,,,yes,,,
PECAM1,,,,,yes,,yes,
PER2,,,,,yes,,,
PERP,,,,,yes,,,
PF4,yes,,,,yes,,,
PFKFB3,,,,,yes,,,
PGAP1,,,,,yes,,,
PGBD1,,,,,yes,,,
PGF,,,,,yes,,,
PGR,,,,,yes,,,
PHACTR3,,,,,yes,,,
PHAX,,yes,,,,,,
PHF19,,,,,yes,,,
PHIP,,,,,,yes,,
PHLDA1,,yes,,yes,,,,
PHLDA2,,,,yes,,,,
PHRF1,,,,,yes,,,
PHTF1,,,,,yes,,,
PIGR,,,,,yes,,,
PIK3CA,,,,,yes,,,
PIK3CB,,,,,yes,,,
PIK3CD,,,,,yes,,,
PIK3CG,,,,,yes,,,
PIK3IP1,,,,yes,,,,
PIK3R2,,,,,yes,,,
PIK3R3,,,,,yes,,,
PIM3,,,,yes,,,,
PIN1,,,,,yes,,,
PITPNM3,,,,yes,,,,
PKD1,,,,,yes,,,
PKN1,,,,,yes,,,
PLA1A,,,,yes,,,,
PLA2G10,,,,,yes,,,
PLA2G1B,,,,,yes,,,yes
PLA2G2A,,,,,yes,,,
PLA2G4A,,,,,yes,,,
PLA2G4C,,,,yes,,,,
PLA2R1,,,,,,,,yes
PLAT,yes,,,,yes,,,
PLAU,,,,yes,yes,,,
PLB1,,,,yes,yes,,,yes
PLCL2,,,,,yes,,,
PLD4,,,,,yes,,,
PLD6,,,,yes,,,,
PLEK,,,,,yes,,,
PLG,yes,,,yes,yes,,,yes
PLK2,,yes,,,,,,
PLK3,,,,yes,,,,
PML,,,,,yes,,,
PNO1,,,,,,yes,,
PNP,,,yes,,,,yes,
PNPLA2,,,,,yes,,,
POLD1,,,,,yes,,,
POLDIP2,,,,,yes,,,
POLG2,,,,,yes,,,
POMC,,,,,yes,,,yes
PON1,yes,,,,yes,,,
POU2F1,,,,,yes,yes,,
POU3F1,,,,,yes,,,
PPARA,,,,,yes,,,
PPARD,,,,,yes,,,
PPARG,yes,,,,yes,,,yes
PPARGC1A,,yes,,yes,,,,
PPARGC1B,,,,,yes,,,
PPBP,,,,,yes,yes,,
PPDPF,,yes,,,,,,
PPIA,,,,,yes,,,
PPIL4,,,,,yes,,,
PPL,,,,yes,,,,
PPP1R10,,,,,yes,,,
PPP1R13L,,,,yes,,,,
PPP1R15A,,yes,,yes,yes,,,
PPP1R1A,,,,,yes,,,
PPP1R9A,,yes,,,,,,
PPP2R5B,,yes,,,,,,
PPP3CA,,,,,yes,yes,,
PPT2,,,,,yes,,,
PPT2-EGFL8,,,,,yes,,,
PQLC1,,yes,,,,,,
PRAM1,,,,,yes,,,
PRAP1,,,,,yes,,,
PRB2,,,,,,,yes,
PRCP,,,,,yes,,,
PRDM1,,yes,,,yes,yes,,
PRDX2,,,,,yes,,,
PRDX3,,,,,yes,,,
PRDX5,,,,,yes,,,
PRDX6,,,,,yes,,,
PRELP,,,,,yes,,,
PRF1,,,,,yes,,yes,yes
PRG4,,,,,yes,,,
PRH1,yes,,,,,,,
PRH2,yes,,,,,,,
PRKAR1B,,yes,,,,,,
PRKAR2B,,,,yes,,,,
PRKCD,,,,,,,yes,
PRKCH,,,,,yes,,,
PRKCQ,,,,,yes,,,
PRKCZ,,,,,yes,,,
PRKN,,,,,yes,,,
PRL,,,,,yes,yes,,
PRMT5,,,,,yes,,,
PROC,,,,,yes,,,
PRRC2A,,,,,yes,,,
PRRT1,,,,,yes,,,
PRRT2,,,,,yes,,,
PRSS2,,,,,yes,,,
PRSS23,,yes,,,,,,
PRSS55,,,,,yes,,,
PRTN3,,,,,yes,,,
PRUNE1,,yes,,,,,,
PSC,,,,,yes,,,
PSG5,,,,,yes,,,
PSMA4,,,,,yes,,,
PSMB5,,,,,yes,,,
PSMB8,,,,,yes,yes,,
PSMB8-AS1,,,,,yes,,,
PSMB9,,,,,yes,yes,,
PSMD12,,,,,yes,,,
PSMD7,,,,,yes,,,
PSMD9,,,,,yes,,,
PSORS1C1,,,,,yes,,,
PSS,,,,,yes,yes,,
PSTPIP1,,,,,yes,,,
PTAFR,,,,,,,,yes
PTBP1,,,,,yes,yes,,
PTEN,,,,,yes,,,
PTGER2,,,,,yes,,,
PTGER4,,,,,yes,,,
PTGES,,,,,yes,,,
PTGS1,,,,,yes,,,yes
PTGS2,,,,,yes,,,
PTH,,,,,yes,,,
PTHLH,,,,yes,yes,,,
PTK2,,,,,yes,,,
PTK2B,,,,,yes,,,
PTMA,,,,,yes,,,
PTMAP4,,,,,yes,,,
PTN,,,,,yes,,,
PTPN11,,,,,yes,,,
PTPN2,,,,,yes,,,
PTPN21,,yes,,,,,,
PTPN22,,,,,yes,,yes,
PTPN6,,,,,yes,,,
PTPRC,,,,,yes,,yes,
PTPRH,,,,yes,,,,
PTPRJ,,,,,yes,,,
PTPRK,,,,,yes,,,
PTPRT,,,,,yes,,,
PTPRVP,,,,,yes,,,
PTTG1,,,,,,yes,,
PTX3,,,,,yes,,,
PURB,,yes,,,,,,
PVT1,,,,yes,,,,
PWAR1,,,,,yes,,,
PXK,,,,,yes,,,
PYCARD,,,,,yes,,yes,
PYY,,,,yes,,,,
QPCT,,,,yes,yes,,,
RA10,,,,,yes,,,
RAB14,,,,,yes,,,
RAB27A,,,,,yes,,,
RAB3D,,,,,,yes,,
RAB3GAP1,,,,,yes,,,
RAB3IL1,,,,yes,,,,
RAB4A,yes,,,,,yes,,
RAB8A,,,,,yes,,,
RABEP1,,,,,yes,,,
RABEPK,,yes,,,yes,,,
RABGEF1,,,,,yes,,,
RAC1,,,,,yes,,,
RAC2,,,,,yes,,,
RAD51B,,,,,yes,,,
RAF1,,,,,yes,,,
RAG1,,,yes,,yes,,,
RAG2,,,yes,,yes,,,
RAMMET,,,,,yes,,,
RAMP2,,,,,yes,,,
RAP1A,,,,,yes,,,
RAP2A,,,,,yes,,,
RAPH1,,,,,yes,,,
RARA,,,,,yes,,,yes
RARB,,,,,yes,,,
RARG,,,,,yes,,,
RARRES2,,,,,yes,,,
RARRES3,,,,,yes,,,
RASA1,,,yes,,,,,
RASD1,,,,yes,,,,
RASGEF1B,,,,yes,,,,
RASGRF1,,,,,yes,,,
RASGRP1,,,,,yes,,,
RASSF5,,,,yes,,,,
RB1,,,,,yes,,,
RBBP4,,,,,,yes,,
RBCK1,,yes,,,,,,
RBL2,,,,,yes,,,
RBM14,,,,,,yes,,
RBM14-RBM4,,,,,,yes,,
RBM24,,,,yes,,,,
RBM45,yes,,,,yes,yes,yes,
RBMS3,,,,,,yes,,
RBP2,,,,,yes,,,
RBPJ,,,,,yes,,,
RBPJP4,,,,,yes,,,
RCAN1,,,,,yes,,,
RCAN2,,,,yes,,,,
RCHY1,,,,,yes,,,
RECK,,yes,,,yes,,,
REG1A,,,,,yes,yes,,
REL,,,,,yes,,,
RELA,,,,,yes,,,
RELB,,,,yes,,,,
RELN,,,,,,yes,,
REN,,,,,,,,yes
RET,,,,,yes,,,
RETN,,,,,yes,yes,,
REV3L,,,,,yes,,,
REXO1,,,,,yes,,,
RFC1,,,,,yes,,,
RGMB,,,,,yes,,,
RGS12,,,,,yes,,,
RGS2,,yes,,,,,,
RHBDF2,,,,yes,,,,
RHBG,,yes,,,,,,
RHD,,,,,,,yes,
RHO,,,,,yes,,,
RHOU,,yes,,,,,,
RIMKLB,,,,yes,,,,
RIMS2,,,,,yes,yes,,
RIPOR2,,,,,yes,,,
RMC1,,,,,yes,,,
RN7SL263P,,,yes,,,,,
RN7SL3,,,,yes,,,,
RNASE3,,,,,yes,,,
RND1,,,,yes,,,,
RNF125,,,,,,yes,,
RNF19A,,,,,yes,,,
RNF2,,,,,yes,,,
RNF5,,,,,yes,,,
RNPC3,,,,,,,,yes
RNU1-1,,,,,yes,,,
RNU1-125P,,,,yes,,,,
RNU1-4,,,,,yes,,,
ROBO3,,,,,yes,,,
ROCK1P1,,,,yes,,,,
ROPN1L,,,,,yes,,,
RORA,,yes,,,,,,
RORC,,,,,yes,yes,,
RP1-140K8.5,,,,yes,,,,
RP1-193H18.2,,,,yes,,,,
RP1-67K17.3,,,,yes,,,,
RP1-86C11.7,,,,yes,,,,
RP1-90L14.1,,,,yes,,,,
RP11-102N12.3,,,,yes,,,,
RP11-1100L3.8,,,,yes,,,,
RP11-160O5.1,,,,yes,,,,
RP11-168L7.1,,,,yes,,,,
RP11-213G2.3,,,,yes,,,,
RP11-215G15.5,,,,yes,,,,
RP11-242J7.1,,,,yes,,,,
RP11-265D17.2,,,,yes,,,,
RP11-277P12.20,,,,yes,,,,
RP11-284F21.10,,,,yes,,,,
RP11-284F21.7,,,,yes,,,,
RP11-290L1.3,,,,yes,,,,
RP11-309L24.2,,,,yes,,,,
RP11-356I2.4,,,,yes,,,,
RP11-383J24.1,,,,yes,,,,
RP11-442H21.2,,,,yes,,,,
RP11-452B18.2,,,,yes,,,,
RP11-460N20.3,,,,yes,,,,
RP11-465B22.3,,,,yes,,,,
RP11-465N4.4,,,,yes,,,,
RP11-473M20.7,,,,yes,,,,
RP11-510N19.5,,,,yes,,,,
RP11-525K10.1,,,,yes,,,,
RP11-525K10.3,,,,yes,,,,
RP11-542C16.1,,,,yes,,,,
RP11-54F2.1,,,,yes,,,,
RP11-552F3.9,,,,yes,,,,
RP11-566J3.4,,,,yes,,,,
RP11-568J23.5,,,,yes,,,,
RP11-573D15.8,,,,yes,,,,
RP11-626G11.1,,,,yes,,,,
RP11-713N11.4,,,,yes,,,,
RP11-731J8.2,,,,yes,,,,
RP11-867O8.5,,,,yes,,,,
RP11-875O11.2,,,,yes,,,,
RP11-875O11.3,,,,yes,,,,
RP11-993B23.3,,,,yes,,,,
RP3-395M20.8,,,,yes,,,,
RP3-462E2.3,,,,yes,,,,
RP3-512E2.2,,,,yes,,,,
RPAIN,,yes,,,,,,
RPAP2,,yes,,,,,,
RPL17,,,,,yes,,,
RPP14,,,,,yes,,,
RPS12P4,,,,,yes,,,
RPS18,,,,,yes,,,
RPS19,,,,,yes,,,
RPS4X,,,,,yes,,,
RPS6KA3,,,,,yes,,,
RPS6KA4,,,,,yes,,,
RPSA,,,,,yes,,,
RRAGC,,yes,,yes,,,,
RSBN1,,,,,yes,,,
RSPO2,,,,,yes,,,
RTKN2,,,,,yes,,,
RUNX1,,,,,yes,,,
RUNX1T1,,,,,yes,,,
RUNX2,,,,,yes,,,
RUNX3,,,,,,,yes,
S100A1,,,,,yes,,,
S100A10,,,,,,,,yes
S100A4,,,,,yes,,,
S100A6,,,,,yes,,,
S100A8,,,,,yes,,yes,
S100A9,,,,,yes,,,
S100B,,,,,yes,,,
S1PR1,,,,,yes,,,
S1PR2,,,,,yes,,,
S1PR3,,,,,yes,,,
SAA1,,,,,yes,,,
SAA2,,,,,yes,,,
SAA2-SAA4,,,,yes,,,,
SAA3P,,,,,yes,,,
SAA4,,,,yes,,,,
SAA@,,,,,yes,,,
SAAL1,,,,,yes,,,
SACM1L,,,,,yes,,,
SAMD4A,,,,yes,,,,
SAR1A,,,,,yes,,,
SARDH,,,,,yes,,,
SAT1,,,,,yes,,,
SBDS,,yes,,,,,,
SBK3,,,,yes,,,,
SCARNA7,,,,yes,,,,
SCD5,,,,,yes,,,
SCG2,,,,,yes,,,
SCLY,,,,,yes,,,
SDC1,,,,,yes,,,
SDC2,,,,,yes,,,
SDC3,,,,,yes,,,
SDS,,,,,yes,,,
SEC14L2,,,,,yes,yes,,
SELE,,,,yes,yes,,,yes
SELENOS,,,,,yes,,,
SELL,,,,,yes,,,yes
SELP,,,,,yes,,yes,yes
SELPLG,yes,,,,,,,
SEMA3B,,yes,,yes,,,,
SEMA3C,,,,yes,yes,,,
SEMA4A,,,,,yes,,,
SEMA4D,,,,,yes,,yes,
SEMA6A,,,,,yes,,yes,
SENP1,,,,,yes,,,
SERPINA1,,,,,yes,yes,,yes
SERPINA3,,,,yes,,,,
SERPINB2,yes,,,,,,,
SERPINC1,,,,,yes,,,
SERPINE1,yes,,,,yes,,,yes
SERPINE2,,yes,,yes,,,,
SERPINF1,,,,,yes,,,
SERPINF2,,,,,yes,,,
SERPINH1,,,,,yes,,,
SESN2,,yes,,yes,yes,,,
SETD2,,,,,yes,,,
SEZ6,,,,yes,,,,
SF3B1,,,,,yes,,,
SFRP1,,,,,yes,,,
SFRP5,,,,,yes,,,
SFTPD,,,,,yes,,,
SGCB,,yes,,,,,,
SGK223,,,,yes,,,,
SGSM3,,,,,yes,,,
SH2B2,yes,,,,,,,
SH2B3,yes,,,,yes,,,
SH2D1A,,,,,yes,,,yes
SH2D5,,,,yes,,,,
SH3BP2,,,,,yes,,,
SH3KBP1,,yes,,,,,,
SHBG,,,,,yes,,,
SHC2,,yes,,,,,,
SHCBP1,,,,,yes,,,
SHH,,,,,yes,,,
SIAH2,,,,,,,yes,
SIGIRR,,,,,yes,,,
SIGLEC1,,,,,yes,,,
SIGLEC9,,,,,yes,,,
SIRPA,,,yes,,,,,
SIRT1,,,,,yes,,,
SIRT6,,,,,yes,,,
SKIDA1,,,,yes,,,,
SKIV2L,,,,,yes,,,
SLAMF1,,,,,yes,,,yes
SLC11A1,,,,,yes,,,
SLC12A9,,,,,yes,,,
SLC14A1,,,yes,,,,,
SLC16A14,,,,yes,,,,
SLC16A3,,,,,yes,,,
SLC16A4,,,,,yes,,,
SLC19A1,,,,,yes,,,
SLC1A4,,yes,,,,,,
SLC22A1,,,,,yes,yes,,
SLC22A4,,,,,yes,,,
SLC22A5,,,,,yes,,,
SLC22A7,,,,yes,,,,
SLC25A12,,,,,yes,,,
SLC2A1,,yes,,,,,,
SLC2A3,,,,,yes,,,
SLC35C1,,yes,,,,,,
SLC38A4,,,,yes,,,,
SLC3A2,,yes,yes,,yes,,yes,
SLC44A4,,,,,yes,,,
SLC51A,,,,,yes,,,
SLC51B,,,,,yes,,,
SLC52A1,yes,,,,yes,,,
SLC52A2,,,,,yes,,,
SLC5A10,,,,yes,,,,
SLC5A5,,,,,yes,,,
SLC5A7,,,,,yes,,,
SLC6A11,,,,,yes,,,
SLC6A14,,,,yes,,,,
SLC7A4,,,,,yes,,,
SLC7A5P1,,,,yes,,,,
SLC7A5P2,,,,yes,,,,
SLC7A9,,,,,yes,,,
SLCO1C1,,,,,yes,,,
SLCO6A1,,,,,yes,,,
SLIT3,,,,,yes,,,
SLURP1,,,,,yes,,,
SMAD1,,,,,,,,yes
SMAD3,,,,,yes,,,
SMAD9,,,,yes,,,,
SMG1,,,,,yes,,,
SMOC1,,yes,,,,,,
SMPD1,,yes,,,,,,
SMS,,,,,yes,,,
SMTNL2,,,,,yes,,,
SNAI2,,,,,yes,,,
SNAPIN,,,,,yes,,,
SNCA,,,,,yes,,,
SNRPA,,,,,,,,yes
SNX16,,,,yes,,,,
SOAT1,,,,,yes,yes,,
SOCS1,,,,yes,yes,,,
SOCS2,,,,yes,yes,,,
SOCS2-AS1,,,,yes,,,,
SOCS3,,,,yes,yes,,,
SOD1,,,yes,,yes,,,
SOD2,,,,,yes,,,
SOD3,,,,,yes,,,
SOGA2,,,,yes,,,,
SOS1,,,,,yes,,,
SOX18,,,,yes,,,,
SP1,,,,,yes,,,
SPA17,,,,,yes,,,
SPAG1,,,,yes,,,,
SPAG11A,,,,,yes,,,
SPAG11B,,,,,yes,,,
SPAG16,,,,,yes,,,
SPATA2,,,,,yes,,,
SPATA6L,,,,yes,,,,
SPESP1,,,,,yes,,,
SPHK1,,,,,,,,yes
SPINT1,,,,yes,,,,
SPP1,,,,,yes,,,yes
SPRED2,,,,,yes,,,
SPRR1B,,,,,,yes,,
SPRY2,,,,,yes,,,
SPSB1,,,,,yes,,,
SPTAN1,,,,,,yes,,
SPTBN1,,,,,,yes,,
SPTBN5,,yes,,,,,,
SPZ1,,,,,yes,,,
SQSTM1,,yes,,,,,,
SRC,,,,,yes,,,
SRF,,,,,yes,,,
SRR,,,,,,,,yes
SRRM2,,,,,,yes,,
SRY,,,,,yes,,,
SSB,,,,,yes,yes,,
SSRP1,,,,,yes,yes,,
SSSCA1,,,,,yes,,,
SST,,,,,yes,,,
SSTR4,,,,,yes,,,
SSUH2,,,,yes,,,,
ST14,,,,,,yes,,
ST3GAL5,,,,,yes,,,
ST6GALNAC5,,,,,yes,,,
STAG1,,,,,yes,,,
STAP2,,,,yes,,,,
STARD9,,yes,,,,,,
STAT1,,,yes,,yes,yes,yes,yes
STAT3,,,yes,,yes,yes,yes,yes
STAT4,,,,,yes,yes,,yes
STAT5A,,,,,yes,,,
STAT5B,,,,,yes,,,
STAT6,,,,,yes,,,
STC2,,,,,yes,,,
STEAP4,,,,,yes,,,
STIM1,,,yes,,,,,
STK19,,,,,yes,,,
STK24,,yes,,,,,,
STRA6,,,,,yes,,,
STS,,,,,yes,,yes,
STX11,,,,yes,,,,
STX3,,,,yes,,,,
STXBP6,,,,,yes,,,
SUB1,,,,,,,yes,
SULT1C4,,yes,,yes,,,,
SULT2A1,,,,,yes,,,
SUMO1,,,,,yes,,,
SUMO2,,,,,yes,,,
SUMO3,,,,,yes,,,
SUMO4,,,,,yes,,,
SUOX,,,,,yes,,,
SUPT3H,,yes,,,,,,
SUPT4H1,,yes,,,,,,
SVIL,,,,yes,,,,
SYNGAP1,,,,,yes,,,
SYNGR1,,,,,yes,,,
SYNGR3,,,,yes,,,,
SYNPO,,,,yes,,,,
SYT1,,,,,yes,,,
SYVN1,,,,,yes,,,
TAB2,,,,,yes,,,
TAC1,,,,,yes,,,
TACR1,,,,,yes,,,
TACR2,,,,,yes,,,
TACR3,,,,,yes,,,
TADA1,,,,,yes,,,
TAGAP,,,,,yes,,,
TAGLN,,,,yes,,,,
TAL1,,,,,yes,,,
TANK,,,,,yes,,,
TAP1,,,,,yes,,,
TAP2,,,,,yes,yes,,
TAPBP,,,,,yes,,,
TARP,,,,,yes,,,
TAT,,,,,yes,,,
TBC1D22B,,yes,,,,,,
TBC1D9,,,,,yes,,,
TBCA,,yes,,,,,,
TBX1,,,,,yes,,,
TBX15,,,,yes,,,,
TBX21,,,,,yes,,,
TBX3,,,,,yes,,,
TBX4,,,,yes,,,,
TBX5,,,,,yes,,,
TBXAS1,,,,,,,,yes
TCF19,,,,,yes,,,
TCP11L2,,yes,,yes,,,,
TDGF1,,,,,yes,,,
TDGF1P3,,,,,yes,,,
TDRD6,,,,yes,,,,
TEC,,,,,yes,,,
TEK,,,,,yes,,,
TELO2,,,,,yes,,,
TENM2,,,,yes,,,,
TERC,,,,yes,,,,
TERF2IP,,,,,yes,,,
TERT,,,,,yes,,,
TET2,,,,,yes,,,
TF,,,,,yes,,,
TFEB,,,,yes,,,,
TFPI,yes,,,,,,,
TFPI2,,,,,yes,,,
TGFA,,,,,yes,,,
TGFB1,,,,,yes,yes,yes,yes
TGFB1I1,,,,yes,,,,yes
TGFB2,,,,,yes,,,
TGFB3,,,,,yes,,,
TGFBI,,,,,yes,,,
TGFBR1,,,,,yes,,,
TGIF1,,,,,yes,,,
TGM1,,,,,yes,,,
TGM2,,,,,yes,,,
TH,,,,,yes,,,
THBD,,,,,yes,,,
THBS1,,yes,,,yes,yes,,
THBS4,,,,yes,,,,
THNSL2,,,,,yes,,,
THPO,,,,,,,yes,
THSD4,,,,yes,,,,
THY1,,,,,,,,yes
TIA1,,,,,yes,,,
TICAM1,,,,yes,,,,
TICAM2,,,,,yes,,,
TIE1,,,,,yes,,,
TIFA,,yes,,,,,,
TIMD4,,,,,yes,,,
TIMELESS,,,,,,,yes,
TIMP1,,,,,yes,,,yes
TIMP2,,,,,yes,,,
TIMP3,,,,,yes,,,
TINAGL1,,,,,yes,,,
TIPARP,,,,,yes,,,
TIRAP,,,,,yes,,,
TLE3,,,,,yes,,,
TLR1,,,,,yes,,,
TLR2,,,,,yes,,,
TLR3,,,,yes,yes,,,yes
TLR4,yes,,,,yes,,yes,yes
TLR5,,,,,yes,,,
TLR7,,,,,yes,,,yes
TLR8,,,,,yes,,,
TLR9,,,,,yes,,,yes
TM7SF2,,,,,yes,,,
TMC7,,,,yes,,,,
TMED2,,,,,,yes,,
TMED7,,,,,yes,,,
TMED7-TICAM2,,,,,yes,,,
TMEM144,,yes,,,,,,
TMEM150B,,,,yes,,,,
TMEM184A,,,,yes,,,,
TMEM187,,,,,yes,,,
TMEM220,,yes,,,,,,
TMEM27,,,,yes,,,,
TMEM45A,,yes,,,,,,
TMEM45B,,,,yes,,,,
TMPO,,,,,yes,,,
TMPRSS11D,,,,,yes,,,
TMPRSS9,,,,yes,,,,
TMUB2,,yes,,,,,,
TNC,,,,,yes,,,
TNF,yes,,,,yes,yes,yes,yes
TNFAIP2,,,,yes,yes,,,
TNFAIP3,,,,yes,yes,yes,yes,
TNFRSF10A,,,,,yes,,,
TNFRSF10B,,,,,yes,,,
TNFRSF11A,,,,,yes,,,
TNFRSF11B,,,,,yes,,,yes
TNFRSF13B,,,,,,,yes,
TNFRSF13C,,,,,yes,yes,yes,
TNFRSF14,,,,yes,yes,,,
TNFRSF17,,,,,yes,,yes,
TNFRSF18,,,,,yes,,,
TNFRSF1A,,,,,yes,yes,,
TNFRSF1B,,,,,yes,,,yes
TNFRSF25,,,,,yes,,,
TNFRSF6B,,,,,yes,,,yes
TNFRSF8,,,,,yes,,,
TNFRSF9,,,,yes,yes,,,
TNFSF10,,,,,yes,,yes,
TNFSF11,,,,,yes,,,
TNFSF12,,,,,yes,,yes,
TNFSF12-TNFSF13,,,,,yes,,yes,
TNFSF13,,,,,yes,yes,yes,
TNFSF13B,,,,,yes,yes,yes,
TNFSF14,,,,,yes,,,
TNFSF15,,,,,yes,,,
TNFSF4,,,,,yes,,,
TNFSF9,,,,,yes,,,
TNIP1,,,,,yes,yes,,
TNNI1,,,,yes,,,,
TNP1,,,,,yes,,,
TNPO3,,,,,yes,yes,,
TNS1,,,,yes,,,,
TNXB,,,,,yes,,,
TOP2B,,,,,yes,,,
TP53,,,,,yes,yes,,
TP63,,,,,yes,,,
TPD52,,,,,yes,,,
TPI1,,,,,yes,,,
TPMT,,,,,yes,,,
TPP2,,,yes,,,,yes,
TPPP,,,,,,yes,,
TPRG1,,,,yes,,,,
TPSAB1,,,,,yes,,,
TPT1,,,,,yes,,,
TRA,,,,,yes,,,
TRAC,,,,,yes,,,
TRAF1,,,,,yes,,,
TRAF3IP2,,,,,yes,yes,,
TRAF5,,,,,yes,,,
TRAF6,,,,,yes,,,
TRAJ60,,,,,yes,,,
TRAP,,,,,yes,,,
TRAV5,,,,,yes,,,
TRAV6,,,,,yes,,,
TRB,,,,,yes,,,
TRBC1,,,,,yes,,,
TRBC2,,,,,yes,,,
TRBV16,,,,,yes,,,
TRBV2,,,,,yes,,,
TRBV20-1,,,,,yes,,,
TRBV20OR9-2,,,,,yes,yes,,
TRBV6-7,,,,,yes,,,
TREM1,,,,,yes,,,
TREM2,,,,,yes,,,
TREX1,,,,,yes,,,
TRG,,,,,yes,,,
TRGC1,,,,,yes,,,
TRGV3,,,,,yes,,,
TRIB3,,yes,,,,,,
TRIM10,,,,,yes,,,
TRIM15,,,,,yes,,,
TRIM16,,,,,yes,,,
TRIM21,,,,yes,yes,yes,yes,yes
TRIM23,,yes,,yes,,,,
TRIM26,,,,,yes,,,
