geneSymbol,Antiphospholipid_Syndrome,hepC_3,Autoimmune_hemolytic_anemia,hepC_1,Rheumatoid_Arthritis,Sjogrens_Syndrome,Immune_thrombocytopenic_purpura,Glomerulonephritis
CALM1,,,,,yes,yes,,
CALM2,,,,,yes,yes,,
CALM3,,,,,yes,yes,,
CALR,,,,,yes,yes,,
CAMP,,,,,,,yes,
CAND2,,yes,,,,,,
CARD8,,,,,yes,,,
CASC3,,,,,yes,,,
CASP1,,,,,yes,,,yes
CASP10,,,yes,,,,yes,
CASP3,,,,,yes,yes,,
CASP5,,,,,yes,,,
CASP7,,,,,yes,,,
CASP8,,,,,yes,,,
CAST,,,,,yes,yes,,yes
CASZ1,,yes,,,,,,
CAT,,,,,yes,,,
CATSPERG,,,,yes,,,,
CAV2,,,,,yes,,,
CBLL2,,,,,yes,,,
CCDC113,,,,yes,,,,
CCDC26,,,,,yes,,,
CCDC61,,yes,,,,,,
CCHCR1,,,,,yes,,,
CCL1,,,,,,,,yes
CCL13,,,,,yes,,,yes
CCL17,,,,,yes,yes,,
CCL18,,,,,yes,yes,yes,
CCL2,yes,,,,yes,,,yes
CCL20,,,,,yes,,,
CCL21,,,,,yes,yes,,
CCL22,,,,,yes,,,yes
CCL23,,,,,yes,,,
CCL25,,,,,yes,,,
CCL26,,,,,yes,,,
CCL27,,,,,yes,,,
CCL28,,,,,yes,,,
CCL3,,,,,yes,,,yes
CCL3L1,,,,,yes,,,
CCL4,,,,,yes,,,yes
CCL4L1,,,,,yes,,,
CCL4L2,,,,,yes,,,
CCL5,,,,,yes,,,yes
CCL7,,,,,yes,,,yes
CCL8,,,,,yes,,,
CCNA2,,,,,yes,yes,,
CCNB1,,,,,yes,,,
CCND1,,,,,yes,,,
CCND3,,,,,yes,,,
CCR1,,,,,yes,,,
CCR10,,,,,yes,,,
CCR2,,,,,yes,,,
CCR3,,,,,yes,,yes,
CCR4,,,,,yes,,,yes
CCR5,,,,,yes,,yes,
CCR6,,,,,yes,,,yes
CCR7,,,,,,yes,,
CCR9,,,,,yes,,,
CCRL2,,,,,yes,,,
CCT3,,,,,yes,,,
CD109,,,,yes,,,,
CD14,,,,,yes,yes,,
CD160,,,,,yes,,,
CD163,,,,,yes,,,yes
CD19,,,,,yes,,yes,
CD1D,yes,,,,yes,,,
CD2,,,,,yes,,,
CD209,,,,,yes,,,
CD226,,,,,yes,,,
CD244,,,,,yes,,,
CD247,,,,,yes,,,
CD248,,,,,yes,,,
CD27,,,,,yes,,,
CD274,,,,,yes,yes,,
CD276,,,,,yes,,,
CD28,,,,,yes,,yes,
CD34,,,,,yes,,yes,
CD38,,,,,yes,,,
CD3E,,,,,yes,,,
CD4,,,,,yes,yes,,
CD40,,,,,yes,yes,yes,
CD40LG,,,,,yes,,yes,yes
CD44,,,,yes,yes,,yes,
CD46,,,,,,,,yes
CD47,,,yes,,yes,,,
CD48,,,,,,,,yes
CD5,,,,,yes,,,
CD55,,,yes,,yes,,,
CD58,,,,,yes,,,
CD59,,,yes,,yes,,,yes
CD6,,,,,yes,,,
CD63,,,,,yes,,,
CD68,,,,,yes,yes,,
CD69,,,,,yes,,yes,
CD70,,,,,yes,,yes,
CD72,,,,,,,yes,
CD74,,,,,,,,yes
CD79A,,,,,yes,,,
CD80,,,,,yes,,,
CD81,,,,,,,yes,
CD82,,,,yes,yes,,,
CD83,,,,yes,yes,,,
CD84,,,,,yes,,,
CD86,,,,,yes,,yes,
CD8A,,,,,yes,,,
CD9,,,,,,yes,,
CDC42,,,,,yes,,,
CDC42EP1,,,,,yes,,,
CDH11,,,,,yes,,,
CDK1,,,,,yes,,,
CDK10,,,,,yes,,,
CDK2,,,,,yes,,,
CDK4,,,,,yes,,,
CDK5,,,,,yes,,,
CDK5RAP2,,,,,yes,,,
CDK6,,,,,yes,,,
CDKN1A,,,,,yes,,,
CDKN1B,,,,,yes,,,
CDKN2A,,,,,yes,yes,,
CDKN2B,,,,,,,yes,
CDKN2C,,,,,yes,,,
CDKN2D,,,,,yes,yes,,
CDKN3,,,,,yes,,,
CDR1,,,,yes,,,,
CDR3,,,yes,,yes,,yes,
CDSN,,,,,yes,,,
CEBPB,,,,,yes,,,
CEBPD,,,,yes,yes,,,
CELSR2,,yes,,,,,,
CEMIP,,,,,yes,,,
CENPH,,yes,,,,,,
CENPJ,,,,,yes,,,
CEP89,,,,,yes,,,
CFB,,,,,yes,,,
CFD,,,,,,,,yes
CFDP1,,,,,yes,,,
CFH,,,,,yes,,,yes
CFHR5,,,,,,,,yes
CFI,,,,,,,,yes
CFLAR,,,,,yes,,,
CFTR,,,,,yes,,,
CHAC1,,,,yes,,,,
CHAT,,,,,yes,,,
CHD7,,,,,yes,,,
CHEK2,,,,,yes,,,
CHGA,,,,,yes,,,
CHI3L1,,,,,yes,,,
CHID1,,,,,yes,,,
CHKA,,,,,yes,,,
CHP1,,,,,,yes,,
CHRM3,,,,,,yes,,
CHST15,,,,yes,,,,
CHST3,,,,,yes,yes,,
CHST6,,,,yes,,,,
CHUK,,,,,yes,,,
CIAO1,,,,,yes,,,
CIB1,,,,,yes,,,
CIC,,,,,yes,,,yes
CIITA,,,,,yes,,,
CILP,,,,,yes,,,
CISH,,,,,yes,,,
CIZ1,,,,,yes,,,
CLEC10A,,,,,yes,,,
CLEC12A,,,,,yes,,,
CLEC16A,,,,,yes,,,
CLEC1B,,,,,yes,,,
CLEC4A,,,,,yes,,,
CLEC5A,,,,,yes,,,
CLEC6A,,,,,yes,,,
CLEC7A,,,,,yes,,,
CLIC1,,,,,yes,,,
CLN3,,,,,,yes,,
CLN8,,,,,yes,,,
CLOCK,,,,,yes,yes,,
CLSTN2,,,,,yes,,,
CLTA,,,,,yes,,,
CLU,,,,,yes,,,
CLUHP3,,,,yes,,,,
CLYBL,,,,,yes,,,
CMKLR1,,,,,yes,,,
CNIH2,,yes,,,,,,
CNN1,,,,yes,,,,yes
CNNM3-DT,,,,,yes,,,
CNR1,,,,,yes,,,
CNR2,,,,,yes,,yes,
CNTFR,,,,,yes,,,
CNTN2,,,,,yes,yes,,
CNTRL,,,,,yes,,,
COG6,,,,,yes,,,
COL11A2,,,,,yes,,,
COL16A1,,,,yes,,,,
COL18A1,,,,,yes,,,
COL2A1,,,,,yes,,,
COL4A1,,,,yes,,,,
COL4A3,,,,,,,,yes
COL4A3BP,,,,,,,,yes
COL4A5,,,,,,,,yes
COL7A1,,,,yes,,,,
COLEC12,,,,yes,,,,
COMMD3-BMI1,,,,,,,yes,
COMP,,,,,yes,,,
COPB2,,,,,yes,,,
COTL1,,,,,yes,,,
